Date_Time,Day_of_Week,Object_1,Object_2,Street_Number,Street_Name,Cross_Street,Near_Street,Location,May_involve_cyclist,May_Involve_Pedestrian,Manner_of_Collision,First_Harmful_Event_Location,First_Harmful_Event,Ambient_Light,Weather_Condition_1,Weather_Condition_2,Traffic_Control_Device_Type,Traffic_Control_Device_Functionality,Road_Surface_Condition,Roadway_Junction_Type,Trafficway_Description,School_Bus_Related,Work_Zone,Speed_Limit,Street_or_Intersection,Intersection_Name_1,Intersection_Direction_1,Intersection_Name_2,Intersection_Direction_2,Intersection_Name_3,Intersection_Direction_3,Street_Direction,Nearest_Intersection_Distance,Nearest_Intersection_Direction,Landmark_Distance,Landmark_Direction,Landmark,Mile_Marker_Direction,Non_Public_Area,Road_Contributing,Damaged_Property_Type,Description_of_Damaged_Property,V1_Registration_Type,v1_State_Code,V1_Configuration,V1_Emergency_Response,V1_Moped,V1_Hit_and_Run,V1_Action_Prior_to_Crash,V1_Model_Year,V1_Most_Harmful_Event,V1_Model,V1_Make,V1_Occupant_Count,V1_Underride_Override,V1_First_Event,V1_Second_Event,V1_Third_Event,V1_Fourth_Event,V1_Most_Damaged_Area,V1_Second_Damaged_Area,V1_Third_Damaged_Area,V1_Towed,V1_Travel_Direction,V1_Interstate,V1_Cargo_Body_Type,V1_Gross_Weight,V1_Haz_Placard,V1_Haz_Release,V1_Trailer_Reg_Type,V1_Trailer_Reg_Plate,V1_Trailer_Reg_State,V1_Trailer_Reg_Year,V1_Trailer_Len,V1_Driver_Contribution,V1_Driver_Contribution_2,V1_Is_Truck,V1_Has_Trailer,V1_Is_Bus,V1_Is_Hazmat,V1_Reg_Year,V1_Driver_Distracted,V1_Bus_Use,V1_Tow_Use,V2_Registration_Type,V2_State_Code,V2_Configuration,V2_Emergency_Response,V2_Moped,V2_Hit_and_Run,V2_Action_Prior_to_Crash,V2_Model_Year,V2_Most_Harmful_Event,V2_Model,V2_Make,V2_Occupant_Count,V2_Underride_Override,V2_First_Event,V2_Second_Event,V2_Third_Event,V2_Fourth_Event,V2_Most_Damaged_Area,V2_Second_Damaged_Area,V2_Third_Damaged_Area,V2_Towed,V2_Travel_Direction,V2_Interstate,V2_Cargo_Body_Type,V2_Gross_Weight,V2_Haz_Placard,V2_Haz_Release,V2_Trailer_Reg_Type,V2_Trailer_Reg_Plate,V2_Trailer_Reg_State,V2_Trailer_Reg_Year,V2_Trailer_Len,V2_Driver_Contribution,V2_Driver_Contribution_2,V2_Is_Truck,V2_Has_Trailer,V2_Is_Bus,V2_Is_Hazmat,V2_Reg_Year,V2_Driver_Distracted,V2_Bus_Use,V2_Tow_Use,P1_Role,P1_Injury,P1_Drivers_Lic_State,P1_Drivers_Lic_Class_1,P1_Drivers_Lic_Class_2,P1_Drivers_Lic_Restrict,P1_Non_Motorist_Desc,P1_Non_Motorist_Action,P1_Non_Motorist_Location,P1_Safety_Equipment,P1_Age,P1_Sex,P1_Seat_Position,P1_Safety_System,P1_Trapped,P1_Veh_Owner,P2_Role,P2_Injury,P2_Drivers_Lic_State,P2_Drivers_Lic_Class_1,P2_Drivers_Lic_Class_2,P2_Drivers_Lic_Restrict,P2_Non_Motorist_Desc,P2_Non_Motorist_Action,P2_Non_Motorist_Location,P2_Safety_Equipment,P2_Age,P2_Sex,P2_Seat_Position,P2_Safety_System,P2_Trapped,P2_Veh_Owner,Latitude,Longitude,Date
08/10/2023 01:01:00 PM,Thursday,OTHER ,PASSENGER CAR ,,BISHOP ALLEN,,BISHOP ALLEN DRIVE,,,,"SIDESWIPE, SAME DIRECTION ",OUTSIDE ROADWAY ,COLLISION WITH PARKED MOTOR VEHICLE ,DAYLIGHT,CLEAR ,,NO CONTROLS ,YES ,DRY ,NOT AT INTERSECTION ,UNKNOWN ,NO,NO,25,NON INTERSECTION,,,,,,,EASTBOUND ,,,,,BLICK ART PARKING LOT ,,,NONE,,,PAN ,MA,OTHER ,N,,Y,PARKED,2013,COLLISION WITH PARKED MOTOR VEHICLE ,GRAND CHEROKEE,JEEP,0.000000000000000,,COLLISION WITH PARKED MOTOR VEHICLE ,,,,RIGHT FRONT ,,,N,UNKNOWN ,,,,,,,,,,,NO IMPROPER DRIVING ,,,,,,,NOT DISTRACTED,,,PAN ,MA,PASSENGER CAR ,N,,Y,TRAVELING STRAIGHT AHEAD,2010,COLLISION WITH PARKED MOTOR VEHICLE ,C300,MERCENDES ,1.000000000000000,,COLLISION WITH PARKED MOTOR VEHICLE ,,,,UNKNOWN ,,,N,UNKNOWN ,,,,,,,,,,,UNKNOWN ,,,,,,,UNKNOWN ,,,UNINVOLVED OWNER,NO APPARENT INJURY,MASSACHUSETTS ,"D, CLASS D VEHICLES ",,NONE,,,,,26.000000000000000,MALE,,,,Y,OPERATOR/DRIVER ,NO APPARENT INJURY,MASSACHUSETTS ,"D, CLASS D VEHICLES ",,NONE,,,,,77.000000000000000,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER ",UNKNOWN ,NOT TRAPPED ,Y,,,8/10/2023 13:01:00
08/22/2023 07:50:00 AM,Tuesday,"SINGLE UNIT TRUCK (2 AXLES, 6 TIRES)",PASSENGER CAR ,14,SHEA RD ,,MASSACHUSETTS AVENUE,"14 SHEA RD
Cambridge, MA
(42.396390081, -71.128261383)",,,"SIDESWIPE, SAME DIRECTION ",ROADWAY ,COLLISION WITH PARKED MOTOR VEHICLE ,DAYLIGHT,CLEAR ,,NO CONTROLS ,,DRY ,NOT AT INTERSECTION ,"ONE-WAY, NOT DIVIDED",NO,YES ,25,NON INTERSECTION,,,,,,,NORTHBOUND,,WESTBOUND ,,,,,,NONE,,,CON ,MA,"SINGLE UNIT TRUCK (2 AXLES, 6 TIRES)",N,,,ENTERING TRAFFIC LANE ,2023,COLLISION WITH PARKED MOTOR VEHICLE ,HV607 ,INTL,1.000000000000000,,COLLISION WITH PARKED MOTOR VEHICLE ,,,,NONE,,,N,NORTHBOUND,,,,,,,,,,,OTHER IMPROPER ACTION ,,Y,,,,,UNKNOWN ,NOT A BUS ,NO,PAN ,MA,PASSENGER CAR ,N,,,PARKED,2009,COLLISION WITH PARKED MOTOR VEHICLE ,SONATA,HYUN,,,COLLISION WITH PARKED MOTOR VEHICLE ,,,,LEFT FRONT,,,N,,,,,,,,,,,,,,,,,,,,,YES VEHICLE OR TRAILER DISABLED ,OPERATOR/DRIVER ,NO APPARENT INJURY,MASSACHUSETTS ,"A, CLASS A VEHICLES ",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER ",,,,UNINVOLVED OWNER,,,,,,,,,,,UNKNOWN ,,,,Y,42.396390081000000,-71.128261382999995,8/22/2023 7:50:00
08/28/2023 08:47:00 PM,Monday,PASSENGER CAR ,MOTORCYCLE,,PUTNAM AVENUE ,PLEASANT STREET ,,"PUTNAM AVENUE
Cambridge, MA
(42.361665057, -71.113428424)",,,ANGLE ,ROADWAY ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,DARK - LIGHTED ROADWAY,CLEAR ,,STOP SIGNS,YES ,DRY ,FOUR WAY INTERSECTION ,"TWO-WAY, NOT DIVIDED",NO,NO,20,INTERSECTION,PUTNAM AVENUE ,WESTBOUND ,PLEASANT STREET ,NORTHBOUND,,,,,,,,,,,NONE,,,PAN ,MA,PASSENGER CAR ,N,,,TURNING LEFT,2018,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,RAV4,TOYOTA,3.000000000000000,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,,,,RIGHT SIDE,,,N,SOUTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING ,,,,,,,NOT DISTRACTED,,YES OTHER REASON NOT DISABLED ,MCN ,MA,MOTORCYCLE,N,,,TRAVELING STRAIGHT AHEAD,2002,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,YZFR6L,YAMAHA,2.000000000000000,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,,,,TOTAL / ALL AREAS ,,,N,NORTHBOUND,,,,,,,,,,,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, ","DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS ",,,,,,UNKNOWN ,,YES VEHICLE OR TRAILER DISABLED ,OPERATOR/DRIVER ,SUSPECTED MINOR INJURY,FLORIDA ,"D, CLASS D VEHICLES ",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER ",,NOT TRAPPED ,,OCCUPANT/PASSENGER,NO APPARENT INJURY,,,,,,,,,,MALE,FRONT SEAT - RIGHT SIDE ,,NOT TRAPPED ,,42.361665057000003,-71.113428424000006,8/28/2023 20:47:00
08/02/2023 01:42:00 PM,Wednesday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,334,HARVARD ,,,"334 HARVARD
Cambridge, MA
(42.370252582, -71.108481181)",,,REAR-END,OUTSIDE ROADWAY ,COLLISION WITH OTHER MOVABLE OBJECT ,DAYLIGHT,UNKNOWN ,,NO CONTROLS ,,UNKNOWN ,NOT AT INTERSECTION ,"TWO-WAY, NOT DIVIDED",NO,NO,20,NON INTERSECTION,,,,,,,NORTHBOUND,,,,,,,,UNKNOWN ,UNKNOWN ,RAILING ON PROPERTY ,UNK ,RI,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,Y,BACKING ,UNK ,COLLISION WITH OTHER MOVABLE OBJECT ,UNK ,UNK ,1.000000000000000,,COLLISION WITH OTHER MOVABLE OBJECT ,,,,REAR CENTER ,,,N,UNKNOWN ,,,,,,,,,,,UNKNOWN ,,,,,,,UNKNOWN ,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.370252581999999,-71.108481181000002,8/2/2023 13:42:00
08/29/2023 04:10:00 PM,Tuesday,PASSENGER CAR ,,336,RINDGE AVENUE ,,,"336 RINDGE AVENUE
Cambridge, MA
(42.393615335, -71.137459935)",,,SINGLE VEHICLE CRASH,ROADSIDE,COLLISION WITH PARKED MOTOR VEHICLE ,DAYLIGHT,CLEAR ,CLEAR ,NO CONTROLS ,YES ,DRY ,NOT AT INTERSECTION ,"TWO-WAY, NOT DIVIDED",NO,NO,25,NON INTERSECTION,,,,,,,WESTBOUND ,,,,,,,,NONE,,,PAN ,MA,PASSENGER CAR ,N,,Y,PARKED,2015,COLLISION WITH PARKED MOTOR VEHICLE ,S60 ,VOLVO ,,,COLLISION WITH PARKED MOTOR VEHICLE ,UNKNOWN ,UNKNOWN ,UNKNOWN ,LEFT REAR ,NONE,NONE,N,WESTBOUND ,,,,,,,,,,,UNKNOWN ,UNKNOWN ,,,,,,UNKNOWN ,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER ,NO APPARENT INJURY,MASSACHUSETTS ,"D, CLASS D VEHICLES ",UNKNOWN ,NONE,,,,,,MALE,OTHER ,UNKNOWN ,NOT TRAPPED ,,,,,,,,,,,,,,,,,,42.393615335000000,-71.137459934999995,8/29/2023 16:10:00
08/22/2023 10:17:00 PM,Tuesday,PASSENGER CAR ,,,MASSACHUSETTS AVENUE,SIDNEY STREET ,,"MASSACHUSETTS AVENUE
Cambridge, MA
(42.393562695, -71.125923831)",1.000000000000000,,ANGLE ,ROADWAY ,COLLISION WITH PEDALCYCLE ,DARK - LIGHTED ROADWAY,CLEAR ,,TRAFFIC CONTROL SIGNAL,YES ,DRY ,FOUR WAY INTERSECTION ,"TWO-WAY, NOT DIVIDED",NO,NO,25,INTERSECTION,MASSACHUSETTS AVENUE,WESTBOUND ,SIDNEY STREET ,SOUTHBOUND,,,,,,,,,,,NONE,,,PAN ,MA,PASSENGER CAR ,N,,,TURNING LEFT,2016,COLLISION WITH PEDALCYCLE ,CRV ,HONDA ,2.000000000000000,,COLLISION WITH PEDALCYCLE ,,,,RIGHT FRONT ,,,N,SOUTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING ,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER ,NO APPARENT INJURY,MASSACHUSETTS ,"D, CLASS D VEHICLES ",,CORRECTIVE LENSES ,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER ",SHOULDER AND LAP BELT USED,NOT TRAPPED ,Y,NON-MOTORIST,NO APPARENT INJURY,,,,,CYCLIST ,"WALKING, RUNNING OR CYCLING ",IN ROADWAY,NONE USED ,,MALE,,,,,42.393562695000000,-71.125923830999994,8/22/2023 22:17:00
08/15/2023 09:37:00 AM,Tuesday,PASSENGER CAR ,PASSENGER CAR ,119,WINDSOR STREET,,,"119 WINDSOR STREET
Cambridge, MA
(42.364701038, -71.096800161)",,,REAR-END,ROADWAY ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,DAYLIGHT,RAIN,CLOUDY,NO CONTROLS ,,WET ,NOT AT INTERSECTION ,"TWO-WAY, NOT DIVIDED",NO,NO,25,NON INTERSECTION,,,,,,,SOUTHBOUND,,,,,,,,ROAD SURFACE CONDITION,,,PAN ,MA,PASSENGER CAR ,N,,,TRAVELING STRAIGHT AHEAD,2017,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,SONATA,HYUNDAI ,1.000000000000000,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,,,,CENTER FRONT,,,Y,SOUTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING ,,,,,,,UNKNOWN ,,YES VEHICLE OR TRAILER DISABLED ,PAN ,MA,PASSENGER CAR ,N,,,SLOWING OR STOPPED IN TRAFFIC ,2014,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,FORESTER,SUBARU,1.000000000000000,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,,,REAR CENTER ,,,N,SOUTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING ,,,,,,,NOT DISTRACTED,,,OPERATOR/DRIVER ,NO APPARENT INJURY,MASSACHUSETTS ,"D, CLASS D VEHICLES ",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER ",UNKNOWN ,NOT TRAPPED ,Y,OPERATOR/DRIVER ,NO APPARENT INJURY,MASSACHUSETTS ,"D, CLASS D VEHICLES ",,NONE,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER ",SHOULDER AND LAP BELT USED,NOT TRAPPED ,Y,42.364701038000000,-71.096800161000004,8/15/2023 9:37:00
08/21/2023 01:30:00 PM,Monday,PASSENGER CAR ,PASSENGER CAR ,,MASSACHUSETTS AVENUE,CHURCH STREET ,,"MASSACHUSETTS AVENUE
Cambridge, MA
(42.393562695, -71.125923831)",,,REAR-END,ROADWAY ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,DAYLIGHT,CLEAR ,,NO CONTROLS ,YES ,DRY ,T-INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER ",NO,NO,25,INTERSECTION,MASSACHUSETTS AVENUE,SOUTHBOUND,CHURCH STREET ,EASTBOUND ,,,,,,,,,,,NONE,,,PAN ,MA,PASSENGER CAR ,N,,Y,SLOWING OR STOPPED IN TRAFFIC ,2016,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,XC90,VOLVO ,3.000000000000000,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,,,,RIGHT REAR,REAR CENTER ,LEFT REAR ,N,SOUTHBOUND,,,,,,,,,,,UNKNOWN ,,,,,,,UNKNOWN ,,NO,PAN ,MA,PASSENGER CAR ,N,,Y,TURNING RIGHT ,2019,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,OUTBACK ,SUBARU,1.000000000000000,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,,,,UNKNOWN ,,,N,EASTBOUND ,,,,,,,,,,,UNKNOWN ,,,,,,,UNKNOWN ,,NO,UNINVOLVED OWNER,,MASSACHUSETTS ,,,,,,,,,MALE,,,,Y,OPERATOR/DRIVER ,NO APPARENT INJURY,MASSACHUSETTS ,"D, CLASS D VEHICLES ",,CORRECTIVE LENSES ,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER ",UNKNOWN ,NOT TRAPPED ,,42.393562695000000,-71.125923830999994,8/21/2023 13:30:00
08/13/2023 11:08:00 AM,Sunday,PASSENGER CAR ,TRUCK TRAILER ,,MOUNT ABURN STREET,PUTNAM AVE,,"MOUNT ABURN STREET
Cambridge, MA
(42.374986723, -71.135054027)",,,"SIDESWIPE, SAME DIRECTION ",ROADWAY ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,DAYLIGHT,CLEAR ,CLEAR ,STOP SIGNS,YES ,DRY ,T-INTERSECTION,"ONE-WAY, NOT DIVIDED",NO,NO,30,INTERSECTION,MOUNT ABURN STREET,SOUTHBOUND,PUTNAM AVE,EASTBOUND ,,,,,,,,,,,NONE,,,PAN ,NY,PASSENGER CAR ,N,,,TURNING RIGHT ,2023,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,MALIBU,CHEVY ,3.000000000000000,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,COLLISION WITH CURB ,COLLISION WITH LIGHT POLE OR OTHER POST/SUPPORT ,UNKNOWN ,RIGHT SIDE,LEFT SIDE ,LEFT FRONT,Y,EASTBOUND ,,,,,,,,,,,FAILED TO YIELD THE RIGHT OF WAY,UNKNOWN ,,,,,,UNKNOWN ,,YES VEHICLE OR TRAILER DISABLED ,CON ,MA,TRUCK TRAILER ,N,,,TURNING RIGHT ,2023,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,220 ,PTRB,1.000000000000000,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,UNKNOWN ,UNKNOWN ,UNKNOWN ,RIGHT SIDE,,,N,EASTBOUND ,,,,,,,,,,,NO IMPROPER DRIVING ,UNKNOWN ,,,,,,UNKNOWN ,,NO,OPERATOR/DRIVER ,NO APPARENT INJURY,MASSACHUSETTS ,"C, CLASS C VEHICLES ",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER ",UNKNOWN ,NOT TRAPPED ,,OPERATOR/DRIVER ,NO APPARENT INJURY,MASSACHUSETTS ,"B, CLASS B VEHICLES ",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER ",UNKNOWN ,NOT TRAPPED ,,42.374986722999999,-71.135054026999995,8/13/2023 11:08:00
08/07/2023 01:49:00 PM,Monday,PASSENGER CAR ,,,MAIN STREET ,BROAD CANAL PARKWAY ,,"MAIN STREET
Cambridge, MA
(42.362200004, -71.084043914)",1.000000000000000,,ANGLE ,ROADWAY ,COLLISION WITH PEDALCYCLE ,DAYLIGHT,CLOUDY,OTHER ,NO CONTROLS ,YES ,WET ,T-INTERSECTION,"ONE-WAY, NOT DIVIDED",NO,NO,25,INTERSECTION,MAIN STREET ,WESTBOUND ,BROAD CANAL PARKWAY ,,,,,,,,,,,,NONE,,,PAN ,MA,PASSENGER CAR ,N,,,TURNING RIGHT ,2013,COLLISION WITH PEDALCYCLE ,CRV ,HONDA ,1.000000000000000,,COLLISION WITH PEDALCYCLE ,UNKNOWN ,UNKNOWN ,UNKNOWN ,RIGHT SIDE,,,N,NORTHBOUND,,,,,,,,,,,UNKNOWN ,UNKNOWN ,,,,,,UNKNOWN ,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER ,NO APPARENT INJURY,MASSACHUSETTS ,"D, CLASS D VEHICLES ","M, CLASS M VEHICLES ",CORRECTIVE LENSES ,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER ",UNKNOWN ,NOT TRAPPED ,Y,NON-MOTORIST,SUSPECTED MINOR INJURY,,,,,CYCLIST ,"WALKING, RUNNING OR CYCLING ",IN ROADWAY,HELMET,,MALE,,,,,42.362200004000002,-71.084043914000006,8/7/2023 13:49:00
08/16/2023 08:15:00 PM,Wednesday,PASSENGER CAR ,PASSENGER CAR ,,MASSACHUSETTS AVENUE,ESSEX STREET,,"MASSACHUSETTS AVENUE
Cambridge, MA
(42.393562695, -71.125923831)",,,REAR-END,ROADWAY ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,DAYLIGHT,CLOUDY,,TRAFFIC CONTROL SIGNAL,YES ,DRY ,T-INTERSECTION,"ONE-WAY, NOT DIVIDED",NO,NO,25,INTERSECTION,MASSACHUSETTS AVENUE,WESTBOUND ,ESSEX STREET,NORTHBOUND,,,,,,,,,,,NONE,,,PAN ,CT,PASSENGER CAR ,N,,Y,TURNING RIGHT ,2016,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,FORESTER 2.5I ,SUBARU,1.000000000000000,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,,,,REAR CENTER ,,,N,NORTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING ,,,,,,,NOT DISTRACTED,,,PAN ,MA,PASSENGER CAR ,N,,Y,TURNING RIGHT ,2018,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,6 ,MAZDA ,1.000000000000000,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,,,,NONE,,,N,NORTHBOUND,,,,,,,,,,,UNKNOWN ,,,,,,,UNKNOWN ,,,OPERATOR/DRIVER ,NO APPARENT INJURY,ARKANSAS,"D, CLASS D VEHICLES ",,NONE,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER ",SHOULDER AND LAP BELT USED,NOT TRAPPED ,Y,OPERATOR/DRIVER ,NO APPARENT INJURY,MASSACHUSETTS ,"D, CLASS D VEHICLES ",,CORRECTIVE LENSES ,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER ",UNKNOWN ,NOT TRAPPED ,Y,42.393562695000000,-71.125923830999994,8/16/2023 20:15:00
08/21/2023 05:45:00 PM,Monday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,1,WHITE STREET,,MASS AVE,"1 WHITE STREET
Cambridge, MA
(42.389870217, -71.118582716)",,,UNKNOWN ,ROADWAY ,COLLISION WITH PARKED MOTOR VEHICLE ,DAYLIGHT,CLOUDY,,NO CONTROLS ,,DRY ,NOT AT INTERSECTION ,"TWO-WAY, NOT DIVIDED",NO,NO,25,NON INTERSECTION,,,,,,,EASTBOUND ,,NORTHBOUND,,,,,,UNKNOWN ,,,PAN ,MA,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,Y,PARKED,2018,COLLISION WITH PARKED MOTOR VEHICLE ,Q5,AUDI,0.000000000000000,,COLLISION WITH PARKED MOTOR VEHICLE ,,,,LEFT REAR ,,,N,UNKNOWN ,,,,,,,,,,,NO IMPROPER DRIVING ,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER ,NO APPARENT INJURY,MASSACHUSETTS ,"D, CLASS D VEHICLES ",,NONE,,,,,,MALE,OTHER ,NONE USED - VEHICLE OCCUPANT,NOT TRAPPED ,,UNINVOLVED OWNER,,,,,,,,,,,FEMALE,,,,Y,42.389870217000002,-71.118582716000006,8/21/2023 17:45:00
08/13/2023 09:58:00 PM,Sunday,PASSENGER CAR ,PASSENGER CAR ,316,WINDSOR ,,,"316 WINDSOR
Cambridge, MA
(42.369107748, -71.094569131)",,,REAR-END,ROADWAY ,COLLISION WITH PARKED MOTOR VEHICLE ,DAYLIGHT,CLEAR ,,FLASHING TRAFIC CONTROL SIGNAL,YES ,DRY ,FOUR WAY INTERSECTION ,"ONE-WAY, NOT DIVIDED",NO,NO,25,NON INTERSECTION,,,,,,,SOUTHBOUND,,,,,,,,NONE,,,PAN ,MA,PASSENGER CAR ,N,,,BACKING ,2023,COLLISION WITH PARKED MOTOR VEHICLE ,XT4 ,CADI,1.000000000000000,,COLLISION WITH PARKED MOTOR VEHICLE ,COLLISION WITH PARKED MOTOR VEHICLE ,,,REAR CENTER ,,,N,SOUTHBOUND,,,,,,,,,,,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, ",,,,,,,OTHER ACTIVITY,,,PAN ,MA,PASSENGER CAR ,N,,,PARKED,2022,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,MMODEL 3,TESL,0.000000000000000,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,,,,CENTER FRONT,,,N,,,,,,,,,,,,NO IMPROPER DRIVING ,,,,,,,NOT DISTRACTED,,,OPERATOR/DRIVER ,NO APPARENT INJURY,MASSACHUSETTS ,"D, CLASS D VEHICLES ",,CORRECTIVE LENSES ,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER ",UNKNOWN ,NOT TRAPPED ,,UNINVOLVED OWNER,NO APPARENT INJURY,MASSACHUSETTS ,"D, CLASS D VEHICLES ",,NONE,,,,,,MALE,,,,Y,42.369107747999998,-71.094569131000000,8/13/2023 21:58:00
08/19/2023 04:39:00 PM,Saturday,PASSENGER CAR ,,950,MASSACHUSETTS AVENUE,,,"950 MASSACHUSETTS AVENUE
Cambridge, MA
(42.368519079, -71.110154628)",,,"SIDESWIPE, SAME DIRECTION ",ROADWAY ,COLLISION WITH PARKED MOTOR VEHICLE ,DAYLIGHT,CLEAR ,,NO CONTROLS ,YES ,WET ,NOT AT INTERSECTION ,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,25,NON INTERSECTION,,,,,,,SOUTHBOUND,,,,,,,,NONE,,,PAN ,MA,PASSENGER CAR ,N,,Y,PARKED,2007,COLLISION WITH PARKED MOTOR VEHICLE ,IS,LEXS,0.000000000000000,,COLLISION WITH PARKED MOTOR VEHICLE ,,,,LEFT FRONT,LEFT SIDE ,LEFT REAR ,N,SOUTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING ,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNINVOLVED OWNER,,MASSACHUSETTS ,"D, CLASS D VEHICLES ",,CORRECTIVE LENSES ,,,,,,MALE,,,,Y,,,,,,,,,,,,,,,,,42.368519079000002,-71.110154628000004,8/19/2023 16:39:00
